epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,172.52,0.61626,0.4865,0.97013,0.98116,1,0.995,0.89228,0.51344,0.47776,0.82804,0.000973861,0.000973861,0.000973861
44,176.06,0.66683,0.57411,1.03511,0.98835,1,0.995,0.9075,0.46157,0.37452,0.81751,0.000957358,0.000957358,0.000957358
45,179.108,0.56118,0.41778,0.95275,0.95743,1,0.995,0.89253,0.50452,0.44531,0.84318,0.000940855,0.000940855,0.000940855
46,182.068,0.55978,0.48535,0.97085,0.97039,0.95833,0.99192,0.88109,0.51084,0.42174,0.84203,0.000924352,0.000924352,0.000924352
47,185.358,0.58015,0.41061,0.96419,0.98995,1,0.995,0.91307,0.48251,0.35369,0.82493,0.000907848,0.000907848,0.000907848
48,189.028,0.60679,0.4189,1.00533,0.9131,0.91166,0.99192,0.84848,0.58646,0.48437,0.84669,0.000891345,0.000891345,0.000891345
49,191.961,0.61757,0.43392,0.98265,0.85909,0.88368,0.96181,0.85378,0.54819,0.70631,0.83833,0.000874842,0.000874842,0.000874842
50,195.078,0.57407,0.39347,0.95756,0.80087,0.87556,0.94397,0.85164,0.51225,0.83165,0.82211,0.000858338,0.000858338,0.000858338
51,198.391,0.56615,0.39838,0.9253,0.75074,0.89233,0.90357,0.81804,0.48247,0.98712,0.81668,0.000841835,0.000841835,0.000841835
52,201.981,0.58318,0.4471,0.97103,0.82291,0.91967,0.947,0.85619,0.51637,0.77331,0.84105,0.000825332,0.000825332,0.000825332
53,204.993,0.53799,0.40361,0.95569,0.86998,0.96089,0.98929,0.90035,0.50275,0.51664,0.82969,0.000808828,0.000808828,0.000808828
54,207.915,0.54151,0.39681,0.95386,0.91647,1,0.98929,0.90208,0.50703,0.37642,0.83251,0.000792325,0.000792325,0.000792325
55,211.472,0.5568,0.37876,0.95066,0.99457,1,0.995,0.89844,0.52703,0.34996,0.83916,0.000775822,0.000775822,0.000775822
56,214.901,0.53178,0.48107,0.9137,0.99296,1,0.995,0.88878,0.48078,0.32431,0.81721,0.000759318,0.000759318,0.000759318
57,217.853,0.56901,0.38532,0.96907,0.9943,1,0.995,0.89085,0.48253,0.33107,0.82047,0.000742815,0.000742815,0.000742815
58,220.978,0.56717,0.35827,0.94841,0.99492,1,0.995,0.89626,0.49514,0.31977,0.82647,0.000726312,0.000726312,0.000726312
59,224.245,0.54036,0.36072,0.97437,0.995,1,0.995,0.9016,0.50348,0.31075,0.82563,0.000709809,0.000709809,0.000709809
60,227.607,0.54773,0.39176,0.9456,0.99327,1,0.995,0.89301,0.48849,0.3067,0.81541,0.000693305,0.000693305,0.000693305
61,230.58,0.51579,0.37494,0.94293,0.99309,1,0.995,0.89723,0.47122,0.3062,0.8088,0.000676802,0.000676802,0.000676802
62,233.656,0.56647,0.38193,0.93657,0.99414,1,0.995,0.89991,0.46266,0.3074,0.80616,0.000660299,0.000660299,0.000660299
63,237.033,0.50982,0.3772,0.92488,0.99204,1,0.995,0.88626,0.4578,0.30007,0.8063,0.000643795,0.000643795,0.000643795
64,240.46,0.51367,0.37448,0.92661,0.9945,1,0.995,0.88693,0.46966,0.28596,0.81223,0.000627292,0.000627292,0.000627292
65,243.467,0.53894,0.37338,0.93367,0.99478,1,0.995,0.8924,0.47806,0.29699,0.8136,0.000610789,0.000610789,0.000610789
66,246.466,0.53492,0.35355,0.93302,0.99431,1,0.995,0.89485,0.46726,0.28321,0.81264,0.000594286,0.000594286,0.000594286
67,249.682,0.57288,0.37305,1.00819,0.99487,1,0.995,0.9002,0.47347,0.28488,0.8141,0.000577782,0.000577782,0.000577782
68,253.155,0.51587,0.34326,0.9404,0.9928,1,0.995,0.88527,0.50673,0.28028,0.82164,0.000561279,0.000561279,0.000561279
69,256.16,0.56032,0.37959,0.95557,0.99181,1,0.995,0.88715,0.5209,0.28274,0.82249,0.000544776,0.000544776,0.000544776
70,259.188,0.50464,0.33977,0.91282,0.99167,1,0.995,0.89329,0.50275,0.26704,0.81687,0.000528272,0.000528272,0.000528272
71,262.319,0.51815,0.36055,0.9505,0.99268,1,0.995,0.88519,0.49304,0.28381,0.81269,0.000511769,0.000511769,0.000511769
72,265.839,0.55268,0.35524,0.94619,0.99453,1,0.995,0.89803,0.45224,0.28663,0.80913,0.000495266,0.000495266,0.000495266
73,268.733,0.53229,0.3447,0.93921,0.99528,1,0.995,0.90256,0.447,0.27492,0.80721,0.000478762,0.000478762,0.000478762
74,271.803,0.53855,0.36404,0.95165,0.9951,1,0.995,0.89241,0.46831,0.28246,0.81352,0.000462259,0.000462259,0.000462259
75,275.085,0.52159,0.35055,0.93662,0.99444,1,0.995,0.9011,0.48002,0.28399,0.81927,0.000445756,0.000445756,0.000445756
76,278.733,0.5332,0.36079,0.92073,0.99384,1,0.995,0.90828,0.47381,0.28829,0.81967,0.000429253,0.000429253,0.000429253
77,281.626,0.56079,0.37005,0.96552,0.99349,1,0.995,0.89851,0.47476,0.29191,0.82222,0.000412749,0.000412749,0.000412749
78,284.597,0.52332,0.32695,0.9578,0.99376,1,0.995,0.90198,0.4673,0.28623,0.81875,0.000396246,0.000396246,0.000396246
79,287.558,0.45444,0.30931,0.91089,0.99427,1,0.995,0.90987,0.4543,0.2693,0.81052,0.000379743,0.000379743,0.000379743
80,291.531,0.49666,0.34557,0.90172,0.99484,1,0.995,0.90278,0.45371,0.27178,0.80629,0.000363239,0.000363239,0.000363239
81,294.495,0.56494,0.39896,0.99502,0.99529,1,0.995,0.89892,0.45166,0.2645,0.80598,0.000346736,0.000346736,0.000346736
82,297.44,0.5003,0.33038,0.94951,0.99434,1,0.995,0.90519,0.44178,0.25745,0.80434,0.000330233,0.000330233,0.000330233
83,300.394,0.47328,0.30824,0.91881,0.99413,1,0.995,0.89895,0.43282,0.25238,0.80271,0.000313729,0.000313729,0.000313729
84,304.49,0.47625,0.33,0.91709,0.99445,1,0.995,0.9154,0.41997,0.24859,0.7965,0.000297226,0.000297226,0.000297226
85,307.573,0.50883,0.33712,0.937,0.99503,1,0.995,0.91792,0.41567,0.24748,0.79455,0.000280723,0.000280723,0.000280723
86,310.656,0.51206,0.34525,0.94595,0.99508,1,0.995,0.92223,0.41255,0.23841,0.79331,0.00026422,0.00026422,0.00026422
87,313.737,0.50166,0.30632,0.8856,0.99535,1,0.995,0.91525,0.4188,0.23828,0.79442,0.000247716,0.000247716,0.000247716
88,317.867,0.5401,0.35643,0.93317,0.99483,1,0.995,0.90118,0.44902,0.25143,0.80181,0.000231213,0.000231213,0.000231213
89,320.864,0.48136,0.30349,0.90322,0.99432,1,0.995,0.89828,0.45733,0.25785,0.80365,0.00021471,0.00021471,0.00021471
90,324.007,0.49092,0.32107,0.94094,0.99496,1,0.995,0.90619,0.4511,0.25341,0.80306,0.000198206,0.000198206,0.000198206
91,336.797,0.4116,0.25099,0.83528,0.99491,1,0.995,0.90596,0.4449,0.24385,0.80101,0.000181703,0.000181703,0.000181703
92,344.643,0.41587,0.36223,0.83692,0.9945,1,0.995,0.90596,0.43086,0.24969,0.79782,0.0001652,0.0001652,0.0001652
93,348.406,0.41051,0.27838,0.86023,0.99432,1,0.995,0.91333,0.43311,0.25295,0.79841,0.000148696,0.000148696,0.000148696
94,351.684,0.36721,0.23649,0.82561,0.99384,1,0.995,0.9053,0.43652,0.2549,0.80019,0.000132193,0.000132193,0.000132193
95,354.836,0.41161,0.26632,0.85943,0.99368,1,0.995,0.90175,0.43779,0.26189,0.80251,0.00011569,0.00011569,0.00011569
96,358.46,0.39152,0.24162,0.86015,0.99437,1,0.995,0.90028,0.43735,0.27006,0.8046,9.91865e-05,9.91865e-05,9.91865e-05
97,361.321,0.3785,0.22717,0.82861,0.995,1,0.995,0.90417,0.43725,0.26447,0.80432,8.26832e-05,8.26832e-05,8.26832e-05
98,364.565,0.38332,0.22047,0.82957,0.99499,1,0.995,0.90417,0.43898,0.26176,0.80385,6.61799e-05,6.61799e-05,6.61799e-05
99,367.632,0.37936,0.25008,0.85914,0.99472,1,0.995,0.90417,0.43848,0.25408,0.80345,4.96766e-05,4.96766e-05,4.96766e-05
100,371.361,0.40794,0.23007,0.85354,0.99415,1,0.995,0.90387,0.43714,0.24916,0.80296,3.31733e-05,3.31733e-05,3.31733e-05
